Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year
114,A.J. Green,CIN,WR,16,DET,6.86,4.8,71.4,69.5,0.5,0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.95,2017
143,A.J. Green,CIN,WR,17,BAL,7.57,5.3,62.5,72.8,0.4,0,9.1,14.6,0.0,0.0,0.0,0.0,0.0,0.0,9.7,9.68,2017
123,A.J. Green,CIN,WR,1,IND,8.43,5.9,75.0,85.1,0.5,0,10.6,14.2,0.0,0.0,0.0,0.0,0.1,0.1,11.3,11.31,2018
206,A.J. Green,CIN,WR,2,BAL,7.57,5.3,62.5,72.5,0.5,0,9.0,14.4,0.0,0.0,0.0,0.0,0.1,0.1,10.0,10.05,2018
86,A.J. Green,CIN,WR,3,CAR,8.0,5.6,75.0,78.2,0.7,0,9.8,13.0,0.0,0.0,0.0,0.0,0.1,0.1,11.8,11.82,2018
86,A.J. Green,CIN,WR,4,ATL,8.15,5.7,75.0,78.2,0.7,0,9.8,13.0,0.0,0.0,0.0,0.0,0.1,0.1,11.8,11.82,2018
105,A.J. Green,CIN,WR,5,MIA,7.57,5.3,62.5,76.2,0.7,0,9.5,15.2,0.0,0.0,0.0,0.0,0.1,0.1,11.6,11.62,2018
67,A.J. Green,CIN,WR,6,PIT,8.29,5.8,75.0,81.2,0.7,0,10.1,13.5,0.0,0.0,0.0,0.0,0.1,0.1,12.1,12.12,2018
33,A.J. Green,CIN,WR,7,KC,9.0,6.3,66.7,89.0,0.7,0,9.9,14.8,0.0,0.0,0.0,0.0,0.1,0.1,12.9,12.9,2018
12,A.J. Green,CIN,WR,8,TB,9.29,6.5,66.7,95.0,0.7,0,10.6,15.8,0.0,0.0,0.0,0.0,0.1,0.1,13.5,13.5,2018
301,A.J. Green,CIN,WR,13,DEN,6.43,4.5,66.7,62.9,0.5,0,10.5,15.8,0.0,0.0,0.0,0.0,0.1,0.1,9.1,9.09,2018
478,A.J. Green,CIN,WR,1,LAC,6.0,4.2,66.7,60.1,0.4,0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,8.41,2020
426,A.J. Green,CIN,WR,2,CLE,6.43,4.5,66.7,63.5,0.4,0,10.7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,8.75,2020
450,A.J. Green,CIN,WR,3,PHI,6.72,4.7,71.4,61.6,0.4,0,8.9,12.4,0.0,0.0,0.0,0.0,0.0,0.0,8.6,8.56,2020
500,A.J. Green,CIN,WR,4,JAX,6.86,4.8,71.4,59.1,0.4,0,8.4,11.8,0.0,0.0,0.0,0.0,0.0,0.0,8.3,8.31,2020
885,A.J. Green,CIN,WR,5,BAL,5.0,3.5,80.0,44.8,0.3,0,9.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.28,2020
1113,A.J. Green,CIN,WR,6,IND,4.57,3.2,60.0,39.9,0.2,0,8.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.19,2020
792,A.J. Green,CIN,WR,7,CLE,5.43,3.8,80.0,49.3,0.3,0,9.8,12.2,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.73,2020
602,A.J. Green,CIN,WR,8,TEN,6.57,4.6,71.4,59.8,0.3,0,8.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,7.78,2020
843,A.J. Green,CIN,WR,10,PIT,5.43,3.8,80.0,46.8,0.3,0,9.4,11.8,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.48,2020
934,A.J. Green,CIN,WR,11,WAS,5.14,3.6,80.0,42.3,0.3,0,8.4,10.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.03,2020
